,season,round,raceName,circuitId,dnf,Finished,Disqualified,Accident,Collision,Engine,Gearbox,Transmission,Clutch,Hydraulics,Electrical,Lap1,Laps2,Laps3,Laps4,Laps5,Laps6,Laps7,Laps8,Laps9,Spunoff,Radiator,Suspension,Brakes,Differential,Overheating,Mechanical,Tyre,DriverSeat,Puncture,Driveshaft,raceId
0,2008,1,Australian GP,albert_park,13,5,1,1,7,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1,2008,2,Malaysian GP,sepang,5,11,0,0,1,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19
2,2008,3,Bahrain GP,bahrain,3,11,0,0,1,1,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3,2008,4,Spanish GP,catalunya,9,9,0,1,5,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
4,2008,5,Turkish GP,istanbul,3,10,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
5,2008,6,Monaco GP,monaco,6,9,0,3,2,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6,2008,7,Canadian GP,villeneuve,7,12,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,24
7,2008,8,French GP,magny_cours,1,13,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
8,2008,9,British GP,silverstone,7,3,0,0,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,26
9,2008,10,German GP,hockenheimring,3,16,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27
10,2008,11,Hungarian GP,hungaroring,2,11,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28
11,2008,12,European GP,valencia,3,11,0,1,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
12,2008,13,Belgian GP,spa,2,9,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30
13,2008,14,Italian GP,monza,1,15,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
14,2008,15,Singapore GP,marina_bay,5,14,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32
15,2008,16,Japanese GP,fuji,5,12,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33
16,2008,17,Chinese GP,shanghai,3,14,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
17,2008,18,Brazilian GP,interlagos,2,9,0,1,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
18,2009,1,Australian GP,albert_park,4,11,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
19,2009,2,Malaysian GP,sepang,2,10,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
20,2009,3,Chinese GP,shanghai,3,13,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
21,2009,4,Bahrain GP,bahrain,1,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,2009,5,Spanish GP,catalunya,6,8,0,0,4,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,2009,6,Monaco GP,monaco,5,9,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
24,2009,7,Turkish GP,istanbul,2,13,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
25,2009,8,British GP,silverstone,2,11,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26,2009,9,German GP,nurburgring,2,17,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
27,2009,10,Hungarian GP,hungaroring,3,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10
